"","gene","family","variable","value"
"342","AaegIr68a","IR","ma_an",1.84101508141759
"343","AaegOr95","OR","ma_an",1.17632879881935
"344","AaegIr7s.2","IR","ma_an",0
"345","AaegIr7r.2","IR","ma_an",0.0171042742202959
"346","AaegIr64a","IR","ma_an",2.60009749904053
"347","AaegOr59","OR","ma_an",7.86917199989353
"348","AaegOr13","OR","ma_an",4.94102108080071
"349","AaegIr87a.2","IR","ma_an",10.9248920226274
"350","AaegIr87a.1","IR","ma_an",6.9846324137358
"351","AaegOr99","OR","ma_an",0.684032442220904
"352","AaegIr75k.2","IR","ma_an",1.76648394257863
"353","AaegIr75o","IR","ma_an",8.32268195759173
"354","AaegOr52","OR","ma_an",5.05175944379899
"355","AaegOr11","OR","ma_an",21.4956985167917
"356","AaegOr67","OR","ma_an",1.33585715678393
"357","AaegOr85","OR","ma_an",3.6365296618132
"358","AaegOr84","OR","ma_an",15.4026554856987
"359","AaegOr81","OR","ma_an",8.71034018940624
"360","AaegOr80","OR","ma_an",10.2889342975097
"361","AaegOr109","OR","ma_an",2.03446460087176
"362","AaegOr31","OR","ma_an",9.42915760535767
"363","AaegOr123","OR","ma_an",0.264698384605611
"364","AaegOr94","OR","ma_an",2.2462590726981
"365","AaegOr128","OR","ma_an",0.0241182456342974
"366","AaegOr4","OR","ma_an",18.9173936272896
"367","AaegOr6","OR","ma_an",5.04448445633214
"368","AaegOr110","OR","ma_an",0.374895301363385
"369","AaegIr60a","IR","ma_an",0.00806295669082171
"370","AaegOr93","OR","ma_an",0.722398416149794
"371","AaegOr92","OR","ma_an",0.0544683160695627
"372","AaegOr91","OR","ma_an",4.01580149063798
"373","AaegOr70","OR","ma_an",10.2366238689339
"374","AaegIr100c.2","IR","ma_an",0
"375","AaegIr100d","IR","ma_an",0
"376","AaegIr7n.2","IR","ma_an",0
"377","AaegIr7y.2","IR","ma_an",0
"378","AaegIr7v.3","IR","ma_an",0.00801430532379858
"379","AaegIr41i","IR","ma_an",6.5502341466754
"380","AaegIr41a.1","IR","ma_an",11.1096522222613
"381","AaegIr41e","IR","ma_an",0.517968122487067
"382","AaegIr41p.2","IR","ma_an",0.0747412235104649
"383","AaegIr41g","IR","ma_an",0.164966532245262
"384","AaegIr41k","IR","ma_an",4.85264880842054
"385","AaegIr41d.3","IR","ma_an",7.72802459675181
"386","AaegIr41n","IR","ma_an",14.6044531037277
"387","AaegIr41j","IR","ma_an",2.39707098666392
"388","AaegIr41d.1","IR","ma_an",1.11367533641219
"389","AaegOr103","OR","ma_an",2.85920891540055
"390","AaegOr48","OR","ma_an",0.495472602559533
"391","AaegOr16","OR","ma_an",4.69083579283053
"392","AaegOr19","OR","ma_an",2.40364737208191
"393","AaegOr33","OR","ma_an",2.29652577500407
"394","AaegOr2","OR","ma_an",8.143580185165
"395","AaegOr10","OR","ma_an",8.81860498295251
"396","AaegOr9","OR","ma_an",0
"397","AaegOr5","OR","ma_an",0
